month,ticker,analysis_date,close,state,weekly_state,trend,divergence,trinity_signal,confidence,trinity_buy,quant_gt_return,quant_gt_profit,verdict,action_summary,key_risk,error
2017-07,VRTX,2017-07-03,128.23,中性偏弱,强,bullish,none,hold,medium,no,18.18,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.13（至近端压力 $134.64 仅 6.41 点，止损距离 50.0,
2017-07,TSLA,2017-07-03,23.508,中性偏弱,强,bullish,none,buy,low,YES,-12.76,no,FP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比 0.53（近端压力 $25.56 仅 2.1 点，止损距离 3.9 点），轻仓,
2017-07,ANET,2017-07-03,9.1806,中性偏弱,中性偏弱,mixed,none,hold,medium,no,-0.42,no,TN,时空状态=中性偏弱 趋势排列=mixed,无Claude分析，仅供参考；风险收益比较差 0.24（至近端压力 $10.10 仅 0.92 点，止损距离 3.83 ,
2017-07,EA,2017-07-03,102.3056,极弱,强,bullish,top,hold,low,no,10.38,YES,FN,时空状态=极弱 趋势排列=bullish,无Claude分析，仅供参考；黄金棒（$107.26）在当前价$102.31上方4.8%，价格已跌穿黄金棒信号区，多头支,
2017-08,NVDA,2017-08-01,4.0553,中性偏弱,强,bullish,none,buy,low,YES,4.94,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $3.73 附近黄金棒确认再入场；风险收益比极差 0.11（至压,
2017-08,VRTX,2017-08-01,153.2,强,强,bullish,none,buy,medium,YES,5.05,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $131.85 附近黄金棒确认再入场；风险收益比极差 0.17（,
2017-08,PYPL,2017-08-01,58.8305,中性偏弱,强,bullish,none,hold,medium,no,5.05,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.13（至近端压力 $61.77 仅 2.94 点，止损距离 21.96,
2017-08,CSGP,2017-08-01,27.525,中性偏弱,强,bullish,top,hold,medium,no,3.97,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.07（至近端压力 $27.75 仅 0.23 点，止损距离 3.40 ,
2017-08,COO,2017-08-01,61.2537,中性偏弱,强,bullish,none,buy,low,YES,-0.05,no,FP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.04（至压力 $62.18,
2017-09,NVDA,2017-09-01,4.2062,强,强,bullish,none,buy,medium,YES,6.35,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $3.96 附近黄金棒确认再入场；风险收益比极差 0.11（至压,
2017-09,VRTX,2017-09-01,162.24,强,强,bullish,none,buy,medium,YES,-5.93,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $145.23 附近黄金棒确认再入场；风险收益比极差 0.21（,
2017-09,PYPL,2017-09-01,60.9323,强,强,bullish,none,buy,medium,YES,4.07,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.13（至压力 $63.98,
2017-09,BA,2017-09-01,227.8081,中性偏弱,强,bullish,none,buy,low,YES,6.25,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.10（至压力 $239.20 仅 11.4 点，止损距离 119.3 ,
2017-09,CSGP,2017-09-01,28.702,强,强,bullish,none,buy,medium,YES,-6.36,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.01（至压力 $28.83,
2017-10,REMX,2017-10-02,59.2789,中性偏弱,强,bullish,none,hold,medium,no,5.93,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.04（至近端压力 $59.48 仅 0.20 点，止损距离 5.19 ,
2017-10,NVDA,2017-10-02,4.417,中性偏弱,中性偏弱,bullish,none,hold,medium,no,15.71,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.16（至近端压力 $4.64 仅 0.22 点，止损距离 1.42 点,
2017-10,BA,2017-10-02,242.6522,中性偏弱,强,bullish,none,buy,low,YES,1.43,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.09（至压力 $254.78 仅 12.1 点，止损距离 134.2 ,
2017-10,VRTX,2017-10-02,152.23,弱,中性偏弱,mixed,none,hold,medium,no,-2.57,no,TN,时空状态=弱 趋势排列=mixed,无Claude分析，仅供参考；当前价$152.23距关键支撑$148.13仅2.7%，破位风险高，请设好止损,
2017-10,FCX,2017-10-02,12.9151,弱,强,mixed,top,hold,medium,no,3.0,YES,FN,时空状态=弱 趋势排列=mixed,无Claude分析，仅供参考,
2017-11,REMX,2017-11-01,62.16,中性偏弱,强,bullish,none,hold,medium,no,3.03,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.12（至近端压力 $65.27 仅 3.11 点，止损距离 25.78,
2017-11,MU,2017-11-01,43.2766,强,强,bullish,none,buy,medium,YES,-6.83,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $35.66 附近黄金棒确认再入场；风险收益比极差 0.13（至,
2017-11,ABBV,2017-11-01,64.1445,中性偏弱,强,bullish,top,hold,medium,no,7.06,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.11（至近端压力 $66.95 仅 2.80 点，止损距离 25.87,
2017-11,BA,2017-11-01,245.0314,中性偏弱,强,bullish,none,buy,low,YES,7.44,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.03（至压力 $249.24 仅 4.2 点，止损距离 149.8 点,
2017-11,NVDA,2017-11-01,5.1128,强,强,bullish,none,buy,medium,YES,-4.78,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $4.44 附近黄金棒确认再入场；风险收益比极差 0.14（至压,
2017-12,MU,2017-12-01,40.946,中性偏弱,强,bullish,none,buy,low,YES,-0.46,no,FP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比 0.50（近端压力 $48.44 仅 7.5 点，止损距离 14.9 点），轻,
2017-12,REMX,2017-12-01,64.5875,强,强,bullish,none,buy,medium,YES,7.22,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.11（至压力 $67.82,
2017-12,IBKR,2017-12-01,13.7826,强,强,bullish,none,buy,medium,YES,3.58,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $11.96 附近黄,
2017-12,LRCX,2017-12-01,16.6822,极弱,强,mixed,top,buy,low,YES,-2.53,no,FP,时空状态=极弱 趋势排列=mixed,无Claude分析，仅供参考；风险收益比 0.59（近端压力 $19.44 仅 2.8 点，止损距离 4.7 点），轻仓,
2017-12,ANET,2017-12-01,14.2906,中性偏弱,强,bullish,none,buy,low,YES,1.31,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $12.72 附近黄金棒确认再入场；风险收益比极差 0.06（至,
2018-01,IBKR,2018-01-02,14.1291,中性偏弱,强,bullish,none,buy,low,YES,8.2,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $13.22 附近黄,
2018-01,MU,2018-01-02,42.5842,极弱,中性偏弱,bullish,none,hold,low,no,3.61,YES,FN,时空状态=极弱 趋势排列=bullish,无Claude分析，仅供参考,
2018-01,ANET,2018-01-02,14.4394,中性偏弱,强,bullish,none,buy,low,YES,16.03,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $13.63 附近黄金棒确认再入场；风险收益比 0.45（近端压,
2018-01,DLTR,2018-01-02,108.69,中性偏弱,强,bullish,none,hold,medium,no,5.19,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.16（至近端压力 $114.12 仅 5.43 点，止损距离 35.0,
2018-01,CPRT,2018-01-02,10.9,中性偏弱,强,bullish,none,buy,low,YES,1.1,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.08（至压力 $11.45 仅 0.54 点，止损距离 6.9 点），,
2018-02,NTAP,2018-02-01,49.9898,中性偏弱,强,bullish,none,buy,low,YES,-1.21,no,FP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.12（至压力 $52.49,
2018-02,ANET,2018-02-01,17.1875,中性偏弱,强,bullish,none,buy,low,YES,-0.94,no,FP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $15.18 附近黄金棒确认再入场；风险收益比极差 0.19（至,
2018-02,IBKR,2018-02-01,15.8519,强,强,bullish,none,buy,medium,YES,9.08,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $14.21 附近黄,
2018-02,ROST,2018-02-01,75.4239,中性偏弱,强,bullish,none,hold,medium,no,-4.63,no,TN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比较差 0.21（至近端压力 $79.20 仅 3.77 点，止损距离 17.89,
2018-02,KR,2018-02-01,25.2345,强,强,bullish,none,buy,medium,YES,-9.67,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考,
2018-03,NFLX,2018-03-01,29.039,强,强,bullish,none,buy,medium,YES,-0.31,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $23.60 附近黄,
2018-03,KR,2018-03-01,23.0399,弱,强,mixed,none,hold,medium,no,-12.35,no,TN,时空状态=弱 趋势排列=mixed,无Claude分析，仅供参考；关键支撑$23.56已被跌破（当前价$23.04，跌破2.3%），结构支撑失效，多头止损参,
2018-03,AMZN,2018-03-01,74.6725,强,强,bullish,none,buy,medium,YES,-6.34,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比 0.38（近端压力 $78.41 ,
2018-03,DECK,2018-03-01,15.78,中性偏弱,强,bullish,none,hold,medium,no,-4.89,no,TN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.15（至近端压力 $16.57 仅 0.79 点，止损距离 5.33 ,
2018-03,NTAP,2018-03-01,48.7352,极强,中性偏弱,bullish,top,buy,low,YES,-0.49,no,FP,时空状态=极强 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.13（至压力 $51.34 仅 2.6 点，止损距离 19.3 点），,
2018-04,NFLX,2018-04-02,28.029,中性偏弱,强,mixed,none,hold,medium,no,6.34,YES,FN,时空状态=中性偏弱 趋势排列=mixed,无Claude分析，仅供参考；风险收益比极差 0.11（至近端压力 $28.46 仅 0.43 点，止损距离 3.83 ,
2018-04,AMZN,2018-04-02,68.5995,极弱,中性偏弱,mixed,top,hold,low,no,10.27,YES,FN,时空状态=极弱 趋势排列=mixed,无Claude分析，仅供参考；风险收益比较差 0.34（至近端压力 $79.92 仅 11.32 点，止损距离 33.7,
2018-04,DECK,2018-04-02,14.43,弱,中性偏弱,mixed,top,hold,medium,no,3.34,YES,FN,时空状态=弱 趋势排列=mixed,无Claude分析，仅供参考；风险收益比较差 0.49（至近端压力 $16.38 仅 1.95 点，止损距离 3.98 ,
2018-04,NOW,2018-04-02,32.324,中性偏弱,强,bullish,none,buy,low,YES,0.55,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.27（至压力 $35.07 仅 2.7 点，止损距离 10.3 点），,
2018-04,BA,2018-04-02,308.7999,弱,中性偏弱,mixed,none,hold,medium,no,2.24,YES,FN,时空状态=弱 趋势排列=mixed,无Claude分析，仅供参考,
2018-05,NFLX,2018-05-01,31.33,中性偏弱,强,bullish,top,hold,medium,no,14.01,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比较差 0.44（至近端压力 $33.14 仅 1.81 点，止损距离 4.14 ,
2018-05,DXCM,2018-05-01,18.3475,中性偏弱,强,bullish,none,hold,medium,no,21.31,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；关键支撑$18.44已被跌破（当前价$18.35，跌破0.5%），结构支撑失效，多头止损参,
2018-05,FTNT,2018-05-01,11.148,中性偏弱,强,bullish,none,buy,low,YES,11.91,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.01（至压力 $11.18,
2018-05,PANW,2018-05-01,32.3533,中性偏弱,强,bullish,top,hold,medium,no,9.51,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.10（至近端压力 $32.73 仅 0.38 点，止损距离 3.75 ,
2018-05,NOW,2018-05-01,33.084,极弱,中性偏弱,bullish,none,hold,low,no,8.29,YES,FN,时空状态=极弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比较差 0.26（至近端压力 $35.07 仅 1.98 点，止损距离 7.74 ,
2018-06,DXCM,2018-06-01,23.05,中性偏弱,强,bullish,none,hold,medium,no,9.71,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比较差 0.25（至近端压力 $24.20 仅 1.15 点，止损距离 4.60 ,
2018-06,NFLX,2018-06-01,35.993,强,强,bullish,none,buy,medium,YES,8.93,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $31.83 附近黄金棒确认再入场；风险收益比极差 0.20（至,
2018-06,TTD,2018-06-01,8.664,强,强,bullish,none,buy,medium,YES,7.56,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $6.02 附近黄金,
2018-06,PANW,2018-06-01,34.865,强,强,bullish,none,buy,medium,YES,-2.43,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.28（至压力 $36.61,
2018-06,CMG,2018-06-01,8.7724,中性偏弱,强,bullish,none,hold,medium,no,-0.81,no,TN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考,
2018-07,TTD,2018-07-02,9.42,中性偏弱,强,bullish,none,hold,medium,no,-9.08,no,TN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.10（至近端压力 $9.89 仅 0.47 点，止损距离 4.73 点,
2018-07,DXCM,2018-07-02,24.6125,中性偏弱,强,bullish,none,hold,medium,no,-2.65,no,TN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.10（至近端压力 $25.22 仅 0.61 点，止损距离 6.16 ,
2018-07,CMG,2018-07-02,8.8564,中性偏弱,强,bullish,top,hold,medium,no,1.64,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比较差 0.47（至近端压力 $9.40 仅 0.54 点，止损距离 1.17 点,
2018-07,NFLX,2018-07-02,39.818,中性偏弱,强,bullish,none,buy,low,YES,-12.87,no,FP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $35.03 附近黄金棒确认再入场；风险收益比极差 0.16（至,
2018-07,ALGN,2018-07-02,340.28,中性偏弱,强,bullish,none,buy,low,YES,6.49,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.13（至压力 $357.2,
2018-08,TTD,2018-08-01,8.684,极弱,强,mixed,top,hold,low,no,68.73,YES,FN,时空状态=极弱 趋势排列=mixed,无Claude分析，仅供参考；风险收益比较差 0.26（至近端压力 $9.73 仅 1.05 点，止损距离 4.08 点,
2018-08,W,2018-08-01,107.23,中性偏弱,强,mixed,none,hold,medium,no,23.14,YES,FN,时空状态=中性偏弱 趋势排列=mixed,无Claude分析，仅供参考；黄金棒（$126.50）在当前价$107.23上方18.0%，价格已跌穿黄金棒信号区，多头,
2018-08,AMD,2018-08-01,18.48,强,强,bullish,none,buy,medium,YES,39.69,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $15.57 附近黄金棒确认再入场；风险收益比极差 0.23（至,
